Algorithm;Time;Iteractions;Target
Bubble;50995;12497500;../unsorted/desordenado5k.txt
Insertion;18998;6335239;../unsorted/desordenado5k.txt
Quick;1032;6663;../unsorted/desordenado5k.txt
Heap;1003;59578;../unsorted/desordenado5k.txt
Merge;1000;9999;../unsorted/desordenado5k.txt
Selection;25988;4999;../unsorted/desordenado5k.txt
Bubble;1641000;312487500;../unsorted/desordenado25k.txt
Insertion;587998;156340620;../unsorted/desordenado25k.txt
Quick;2900;33329;../unsorted/desordenado25k.txt
Heap;6023;356163;../unsorted/desordenado25k.txt
Merge;5002;49999;../unsorted/desordenado25k.txt
Selection;648077;24999;../unsorted/desordenado25k.txt
Bubble;44455385;-777497092;../unsorted/desordenado125k.txt
Insertion;12769002;-394164873;../unsorted/desordenado125k.txt
Quick;15998;166583;../unsorted/desordenado125k.txt
Heap;33094;2068910;../unsorted/desordenado125k.txt
Merge;26014;249999;../unsorted/desordenado125k.txt
Selection;15249179;124999;../unsorted/desordenado125k.txt
Bubble;23993;12497500;../sorted/ordenado5k.txt
Insertion;0;0;../sorted/ordenado5k.txt
Quick;88075;9999;../sorted/ordenado5k.txt
Heap;0;63433;../sorted/ordenado5k.txt
Merge;952;9999;../sorted/ordenado5k.txt
Selection;25962;4999;../sorted/ordenado5k.txt
Bubble;597003;312487500;../sorted/ordenado25k.txt
Insertion;0;0;../sorted/ordenado25k.txt
QUICK NÃO RODOU
Heap;5001;373955;../sorted/ordenado25k.txt
Merge;3998;49999;../sorted/ordenado25k.txt
Selection;612010;24999;../sorted/ordenado25k.txt
Bubble;16572993;-777497092;../sorted/ordenado125k.txt
Insertion;1000;0;../sorted/ordenado125k.txt
QUICK NÃO RODOU
Heap;29981;2160463;../sorted/ordenado125k.txt
Merge;9978;249999;../sorted/ordenado125k.txt
Selection;15180789;124999;../sorted/ordenado125k.txt
Bubble;77085;12497500;../sorted/ordenadodesc5k.txt
Insertion;51999;12497500;../sorted/ordenadodesc5k.txt
Quick;57015;9999;../sorted/ordenadodesc5k.txt
Heap;999;55937;../sorted/ordenadodesc5k.txt
Merge;0;9999;../sorted/ordenadodesc5k.txt
Selection;23000;4999;../sorted/ordenadodesc5k.txt
Bubble;1815242;312487500;../sorted/ordenadodesc25k.txt
Insertion;1148220;312487500;../sorted/ordenadodesc25k.txt
QUICK NÃO RODOU
Heap;5999;339087;../sorted/ordenadodesc25k.txt
Merge;2000;49999;../sorted/ordenadodesc25k.txt
Selection;626000;24999;../sorted/ordenadodesc25k.txt
